height,width,depth,weight,color,quality
1.08519,1.01473,1.08438,0.67781,9,0
0.99785,0.92274,0.97758,0.63641,5,1
0.97872,0.92039,1.08005,0.64292,7,0
1.09383,1.0404,0.99663,0.70465,1,0
1.0636,0.99341,0.9095,0.64831,3,1
0.94853,1.01149,0.90936,0.68888,9,0
1.00804,0.93645,1.00566,0.54096,9,0
1.06098,1.03346,1.04576,0.79106,2,0
1.09497,1.07815,1.05509,0.78772,9,0
0.98262,0.99325,1.08518,0.64182,4,0
0.97667,1.0561,0.94643,0.76658,5,0
1.08681,0.98911,1.08331,0.63826,7,0
0.94251,1.06501,1.0457,0.74953,8,1
0.93166,0.91147,1.04027,0.62778,3,1
1.05348,1.08785,0.91422,0.70046,10,0
0.91128,1.02309,0.95796,0.6478,10,0
1.03227,1.00452,1.00711,0.66706,9,1
0.92587,1.04864,0.91068,0.6825,6,0
0.9305,1.03403,0.94414,0.61024,5,1
1.01833,1.08629,0.90299,0.62838,4,0
1.02563,0.92911,0.95427,0.5757,4,1
0.96368,0.91556,1.05473,0.73964,4,0
1.08601,1.09116,0.94123,0.52326,1,0
0.9193,1.08018,1.0315,0.55873,9,0
0.9643,1.04156,1.03543,0.73659,4,1
0.97933,1.05841,1.0982,0.74068,5,0
0.99342,0.95994,1.0747,0.57982,6,1
0.92488,1.0006,1.09242,0.53299,5,0
1.00916,1.0553,1.08449,0.66645,8,0
0.97082,1.07273,1.06769,0.6791,9,1
0.99198,1.04347,1.09649,0.51495,7,0
0.9022,0.94586,0.98107,0.79303,8,0
1.04367,1.04263,1.03569,0.77863,3,1
1.04453,0.93332,0.96746,0.53382,8,0
0.91005,1.00931,0.94694,0.73736,4,0
1.07477,1.08789,1.0414,0.76202,7,0
1.0933,0.97715,1.03111,0.68673,4,0
1.09116,1.08579,0.96393,0.77853,9,0
1.02608,0.94148,0.91287,0.51834,10,0
1.01715,1.00966,1.03078,0.75129,3,1
1.00276,0.99015,1.01862,0.68625,9,1
1.06474,0.90102,0.92528,0.65967,1,0
1.02259,0.9073,1.02494,0.63565,3,1
1.02957,0.96687,1.03732,0.57477,8,1
0.94894,1.01901,1.01141,0.75604,6,0
1.05561,1.00166,0.95184,0.75688,7,0
0.90593,1.06446,1.07748,0.64232,1,0
0.95328,0.99832,0.98399,0.73866,1,1
0.99082,1.00107,1.09312,0.70282,7,0
0.93803,0.96144,1.05882,0.77892,3,1
0.90231,0.92131,0.90315,0.66062,2,0
0.99194,1.02857,0.99112,0.58479,8,1
0.9755,0.90984,0.92818,0.76515,7,0
0.98863,1.04814,1.01442,0.51565,3,1
0.96451,1.02577,0.97777,0.58998,2,1
0.97255,0.9794,0.91559,0.61649,10,0
1.09805,1.0563,1.08574,0.62113,8,0
0.92766,0.9862,1.03852,0.69431,4,1
0.95556,1.08391,1.01596,0.69806,10,0
1.07863,1.02229,0.91617,0.50692,8,0
1.01483,0.92551,1.06832,0.57518,8,1
0.94045,0.95084,0.97816,0.62201,4,1
0.9722,1.02195,1.02478,0.63768,9,1
0.97005,1.07211,0.90456,0.5357,6,0
1.00317,0.97232,0.90587,0.69046,5,0
1.01848,1.09413,1.06198,0.6777,6,0
0.99526,0.93147,0.94036,0.67759,4,1
0.95227,1.087,1.02755,0.5514,8,0
0.92453,1.09965,1.06411,0.61006,10,0
0.98755,1.05086,1.03981,0.76657,7,0
0.90528,0.90185,0.92507,0.71541,7,0
0.94505,0.99335,1.05934,0.51914,5,0
0.90543,1.06076,0.95038,0.51962,4,0
1.07264,0.98724,1.0691,0.62018,6,1
1.08207,1.06804,1.00388,0.5432,1,0
1.0942,1.07633,1.00324,0.6384,1,0
1.09664,1.00936,0.94158,0.6547,4,0
0.94998,1.019,1.09235,0.65965,9,0
1.01196,1.06831,0.92225,0.59787,10,1
1.02331,1.00349,1.08735,0.55071,10,0
0.91656,1.02814,1.04774,0.72496,7,0
1.04713,1.00396,1.09338,0.72753,2,0
0.98593,0.90339,0.93772,0.7391,1,0
1.05555,0.91062,1.09655,0.7709,4,0
0.97638,1.04417,0.98584,0.61071,3,1
1.01257,1.05731,1.08858,0.75418,5,0
1.08963,1.07933,0.98417,0.53219,4,0
1.05543,0.94087,0.99035,0.72268,7,1
0.96834,0.90467,1.0331,0.72184,2,0
0.90891,1.03849,0.98488,0.60949,3,1
0.98183,0.97471,1.08345,0.59231,10,0
1.01968,1.03358,1.05691,0.57606,2,1
1.0138,0.93753,0.94695,0.70081,1,1
1.01341,0.92724,0.90909,0.50595,6,0
0.90637,0.95691,0.98478,0.65506,8,0
1.04605,1.00939,0.94234,0.70803,3,1
0.91344,1.08333,0.95529,0.60381,10,0
0.99462,1.06671,1.00553,0.76369,7,0
1.04537,1.05353,0.90297,0.66378,9,0
1.05848,0.99557,1.00659,0.57703,9,1
0.9542,1.02862,1.06474,0.65687,4,1
1.04091,0.92653,0.99653,0.77032,2,0
1.09525,1.03316,0.99981,0.79283,8,0
1.02578,0.99116,0.91407,0.78273,3,1
1.00009,0.9838,0.95801,0.53471,9,0
0.99991,1.05197,0.92441,0.76107,4,0
0.94094,0.99388,0.93152,0.67009,6,1
1.0862,0.9558,0.98858,0.68372,6,0
1.03053,0.99224,0.94028,0.66523,5,1
0.91011,1.04967,0.95127,0.54502,4,0
1.06542,0.95502,1.02611,0.6228,4,1
0.94391,0.90669,0.92182,0.6563,3,1
1.07701,0.90614,0.99724,0.52552,4,0
0.93677,0.94651,0.99519,0.57149,3,1
0.97694,1.02338,1.06634,0.59406,3,1
0.9561,1.05945,1.08365,0.58807,6,0
0.9803,1.07918,0.92863,0.6585,8,1
0.90795,0.92267,0.98055,0.66448,9,0
1.08393,0.96699,1.07875,0.64186,8,0
0.96189,0.91089,0.9017,0.68019,9,0
0.96188,1.08281,1.08495,0.67811,2,0
0.99996,0.93102,0.93091,0.71665,5,1
0.95164,1.05668,1.04177,0.77279,5,0
1.01711,1.05718,1.03539,0.79139,8,0
1.00828,0.95166,0.99471,0.79772,8,0
0.9805,0.96592,1.09023,0.72057,8,0
0.99802,1.06504,1.04407,0.56866,1,1
0.9971,1.03471,1.02672,0.72196,6,1
1.07562,1.02366,0.95704,0.67163,2,1
1.0315,0.94505,0.90812,0.59427,9,0
0.90612,0.9332,0.98562,0.75042,8,0
0.93371,1.05846,0.97847,0.57982,6,1
1.02775,0.9609,0.9373,0.79294,1,0
1.057,0.91872,0.96696,0.64336,7,0
1.09617,0.903,0.96805,0.54512,7,0
1.09531,1.09944,0.90348,0.6558,1,0
0.91643,0.91096,0.90973,0.57676,1,0
0.98048,1.0123,1.00354,0.7827,5,0
0.90187,1.02958,1.07675,0.79164,10,0
1.06255,0.92599,0.95539,0.68154,10,1
1.08718,0.91481,1.05575,0.53256,1,0
0.93546,1.09437,0.90688,0.54963,10,0
1.00488,0.93315,1.00606,0.52899,3,1
0.92584,1.06366,1.09676,0.57135,5,0
1.0894,0.93247,1.03476,0.65034,10,0
1.09466,0.99172,0.93276,0.76432,4,0
0.98775,1.02516,0.95843,0.69243,1,1
1.07369,0.96318,0.96921,0.60709,9,1
1.05794,0.98874,1.08019,0.51176,9,0
1.0552,0.95292,0.96758,0.62841,9,1
0.99317,1.00331,1.06283,0.57834,6,1
1.06754,0.9891,1.08889,0.54557,5,0
1.01452,0.93064,1.04952,0.54283,4,0
0.94386,1.01573,1.09521,0.69517,10,0
0.91673,1.03939,0.93452,0.565,9,0
0.9365,0.9469,1.08318,0.54162,7,0
1.02417,1.0664,1.04667,0.76495,1,0
0.91359,1.08759,1.02486,0.67841,6,0
1.05485,0.92555,0.91752,0.58506,3,1
0.92455,1.05324,0.96349,0.57936,9,1
1.09488,1.01662,1.0991,0.68155,4,0
1.08138,0.99196,0.97579,0.69221,2,0
1.03406,0.91106,1.0762,0.65448,6,0
1.00723,1.04149,1.00946,0.7222,8,1
1.05949,1.00794,0.90563,0.60794,1,0
0.93006,1.09211,1.00973,0.62636,3,1
0.92107,0.97925,0.97621,0.66387,2,1
1.01183,1.06867,0.94407,0.77922,3,1
1.0683,1.0359,0.962,0.66342,10,1
0.92821,0.90217,1.0149,0.64209,6,0
0.93452,1.00234,1.07542,0.79005,5,0
0.9953,1.09425,1.04712,0.69408,1,0
0.9946,0.93686,0.99691,0.73254,9,1
0.95634,0.92089,0.9009,0.76884,1,0
0.98543,1.08457,1.04753,0.55708,3,1
1.09889,1.03431,0.91242,0.79806,6,0
1.03062,1.01743,1.0703,0.56828,3,1
1.01429,1.00894,1.02059,0.52906,2,0
1.0953,0.99107,0.99406,0.51378,8,0
0.92212,1.0931,1.06081,0.66809,9,0
1.00513,1.01656,0.93229,0.75765,5,0
1.08028,1.01501,1.02204,0.79127,8,0
0.98585,0.91749,1.08604,0.70623,6,0
0.94561,1.07721,0.96751,0.58492,10,1
0.92271,0.98927,1.02162,0.53638,2,0
1.08803,1.07936,0.91335,0.73979,10,0
1.05569,1.06491,1.0932,0.73963,3,1
0.90509,1.01035,0.9189,0.57187,3,1
1.0518,1.00805,0.98564,0.76467,8,0
0.95985,0.91299,0.95858,0.70282,1,0
1.00828,1.07794,1.04298,0.65279,1,1
1.04525,0.94684,1.04667,0.75038,3,1
1.02256,1.05406,0.98471,0.54055,10,0
0.94027,0.95742,0.96351,0.67206,10,1
1.02594,0.97591,0.91495,0.7709,3,1
0.90085,0.96808,1.09905,0.54233,5,0
1.06151,1.00784,1.05069,0.52596,3,1
1.09137,0.99664,1.09029,0.65789,9,0
0.90533,0.96254,1.03986,0.58764,5,0
1.08018,1.0046,1.00018,0.68271,10,0
1.02584,1.06157,1.08557,0.722,6,0
0.91396,1.01278,0.96226,0.64955,8,0
1.04967,1.02619,0.9647,0.71404,4,1
0.98418,1.02936,1.05318,0.5324,6,0
0.9328,0.91632,0.91071,0.79449,8,0
0.99412,0.98237,0.95892,0.55907,9,1
0.97828,1.00311,1.01055,0.75056,4,0
1.00758,1.01908,1.08064,0.58599,9,0
0.92165,0.97001,1.07508,0.6707,1,1
1.06446,0.99024,1.0809,0.55228,10,0
0.93937,1.03876,1.01913,0.77308,1,0
0.99576,0.98523,1.07315,0.66944,9,1
0.97557,1.0757,0.90895,0.78119,9,0
0.9735,1.05882,0.93293,0.55145,6,1
1.08587,1.06094,0.94698,0.50951,9,0
0.9785,0.95967,0.92822,0.75786,8,0
1.04855,0.99861,0.98683,0.71816,10,1
1.05325,1.04087,1.00404,0.61249,5,1
0.94476,1.03001,1.08344,0.64392,4,0
0.92199,1.02776,1.01428,0.73906,8,1
1.08489,0.98734,1.0696,0.54412,10,0
0.93133,0.92413,1.07687,0.68777,10,1
0.96337,1.05792,1.00819,0.7995,4,0
0.99951,0.98861,0.93362,0.76897,6,0
0.94304,1.03284,0.9822,0.60896,5,1
1.0252,0.9123,1.0383,0.6416,4,0
1.07393,1.08353,0.92979,0.56451,1,0
0.92427,0.94178,0.96865,0.64723,10,1
0.90066,1.04939,1.06661,0.66472,9,0
1.03919,1.07593,1.07098,0.67259,6,1
0.98431,1.02248,1.06598,0.61409,5,1
0.94088,1.00797,0.99176,0.79505,4,0
1.0588,1.01007,0.93519,0.56647,7,1
1.08812,0.98675,0.93922,0.52365,5,0
1.06443,1.05912,0.941,0.63941,10,1
0.90068,0.972,0.90826,0.55643,10,0
0.91625,0.93856,1.03568,0.72437,2,0
1.07303,1.00795,0.99781,0.61716,4,1
0.99488,1.08199,0.92947,0.64186,9,0
1.05571,0.99836,1.03488,0.6783,5,1
0.96249,1.09387,0.97735,0.52747,3,1
0.90629,0.96077,1.03315,0.64055,5,0
1.04239,0.91278,1.02985,0.52102,3,1
1.08044,0.91315,1.03982,0.55032,9,0
1.02299,1.0048,0.96559,0.52059,5,0
0.91086,0.94667,0.96646,0.64579,5,0
0.97703,1.03247,1.00151,0.60921,6,1
1.05802,1.03174,0.98757,0.76597,3,1
1.01595,0.99872,0.96381,0.79696,6,0
1.01943,1.06591,1.02723,0.53168,4,0
0.91245,1.04496,0.94375,0.67329,9,0
1.007,0.94337,0.90727,0.73866,5,0
1.03538,1.08342,1.02111,0.68102,2,0
0.96617,0.94067,0.96223,0.63463,1,1
1.0479,1.04106,1.07111,0.65932,2,1
1.00257,1.05689,0.9512,0.63593,10,1
1.0151,1.03159,1.09471,0.73801,2,0
1.04086,0.95196,0.9508,0.56164,4,1
1.00775,1.01952,1.02965,0.76041,8,0
0.96355,1.0217,0.96141,0.678,4,1
1.0931,1.05766,1.08021,0.67651,4,0
1.05798,0.98125,1.08912,0.76924,8,0
1.02424,1.07264,1.06814,0.76128,10,0
1.00028,1.09643,1.06552,0.76375,7,0
1.05048,0.98861,0.92344,0.77891,8,0
0.99175,1.0749,1.02545,0.59391,8,1
0.93384,0.90461,0.97021,0.7231,10,0
0.97528,1.0963,0.97496,0.56428,1,0
0.94738,1.09883,0.97575,0.68236,2,0
1.09472,1.06514,0.92022,0.56381,10,0
0.95156,0.92218,0.97051,0.62515,1,1
1.01477,1.03338,0.91158,0.62217,8,0
0.91989,0.96766,0.97583,0.52798,8,0
1.07829,1.06323,0.91095,0.75188,4,0
0.97415,1.08921,0.99064,0.65868,9,0
1.0402,1.07594,1.08326,0.78153,9,0
0.92796,0.9633,1.05466,0.7416,2,1
0.95412,1.07663,0.97084,0.69314,1,1
0.90812,1.06031,0.90126,0.63986,10,0
1.04988,1.00756,0.92383,0.55259,2,1
1.08245,1.05699,0.96805,0.77085,5,0
1.02223,0.96076,0.98325,0.69594,5,1
1.02083,1.03607,1.02534,0.78467,6,0
0.94438,1.01746,0.92749,0.60949,6,1
1.00419,0.93467,0.96224,0.72588,1,1
0.94161,1.08219,0.98105,0.67274,4,0
1.08425,1.09811,0.99919,0.51544,1,0
1.05241,1.08084,1.06117,0.67088,9,0
1.01779,0.99009,1.0825,0.66994,1,0
0.92354,0.94985,0.98575,0.56076,3,1
1.06625,1.06174,0.90902,0.53884,4,0
1.01352,1.07653,0.91495,0.77451,3,1
1.07457,0.94359,1.06678,0.71154,5,1
0.96488,1.03899,0.97882,0.5551,8,1
1.00758,1.09124,1.0998,0.74796,7,0
0.983,1.0814,0.91407,0.64016,3,1
0.99701,0.94697,1.03399,0.50369,5,0
0.90242,0.9377,1.07227,0.75155,10,0
0.91412,1.00131,1.0429,0.69187,7,0
1.04408,0.96337,1.00777,0.70779,9,1
0.93327,1.09969,0.97129,0.76848,5,0
0.96511,1.08482,0.9485,0.68313,2,0
0.98184,1.00127,0.95298,0.67506,7,1
0.96275,1.09191,1.01321,0.66152,8,0
1.02494,1.01811,1.04277,0.56127,8,1
1.08721,0.96823,1.09185,0.61242,1,0
1.03413,0.96808,1.07389,0.58099,2,1
0.92933,1.02118,1.0316,0.65361,7,1
0.915,1.05372,1.05896,0.64339,1,0
1.05461,1.01468,1.02924,0.58204,9,1
0.91738,1.07945,0.98879,0.72075,1,0
0.9661,0.99883,0.90035,0.57459,6,0
1.01884,1.08458,0.95613,0.52933,6,0
1.08258,0.92542,1.01032,0.72309,1,0
1.08125,1.09396,1.03468,0.58166,5,0
1.09256,0.90565,0.95582,0.78406,5,0
0.98485,0.94978,0.97688,0.52895,6,0
0.97485,1.07795,1.00231,0.6489,3,1
0.99782,0.92641,1.03757,0.52483,10,0
1.07185,1.04719,1.07797,0.51301,5,0
0.91987,1.03592,0.95288,0.71298,2,0
1.05189,0.91193,0.9484,0.57168,5,0
0.97589,0.98232,1.06441,0.71651,6,1
0.98071,1.09002,0.92682,0.7878,5,0
0.94708,1.08199,1.01668,0.62441,3,1
1.08397,1.0743,1.073,0.5561,4,0
0.95789,1.08939,0.907,0.60147,3,1
0.9699,1.09718,0.90335,0.76642,7,0
0.95709,1.04268,0.99643,0.66635,4,1
1.09897,1.06574,0.97827,0.58553,10,0
0.92957,0.9669,0.98483,0.55074,8,1
1.05195,1.00099,0.9417,0.74693,9,1
1.09249,0.94982,1.03621,0.5319,4,0
1.07264,1.09221,1.06611,0.50259,6,0
0.96873,1.08416,1.03089,0.53122,7,0
1.00379,0.9323,1.04239,0.52397,5,0
0.9493,0.96922,0.94825,0.5994,5,1
0.94104,1.00964,1.01195,0.52818,3,1
0.97746,1.01302,1.01344,0.64545,7,1
1.0979,1.07984,0.9802,0.75479,3,1
1.00607,0.97462,1.08604,0.52078,2,0
0.90319,1.00026,1.06405,0.6268,3,1
1.01555,0.95381,1.02611,0.71368,2,1
1.04947,1.05716,0.95648,0.61874,4,1
0.98309,1.04024,0.99165,0.71406,5,1
0.9158,1.06258,1.03202,0.70604,5,0
0.99578,1.06377,1.01095,0.58101,4,1
1.04642,1.01711,0.91648,0.7464,2,0
0.90155,0.93744,0.95924,0.65929,1,0
1.01551,0.94477,0.92589,0.65196,5,1
1.0046,0.91564,0.93288,0.55131,5,0
0.93106,1.05133,0.92194,0.79185,1,0
0.9973,1.05362,1.06274,0.72269,8,1
1.00459,1.08836,1.00215,0.76395,2,0
0.98971,0.91333,1.09229,0.6767,2,0
0.94274,1.09176,1.04184,0.58475,1,0
0.99709,0.91782,1.08902,0.52196,10,0
0.95293,1.0378,0.93109,0.52862,1,0
0.94808,0.99119,1.05026,0.58791,4,1
1.08685,0.9429,0.9019,0.68336,5,0
1.05231,1.0437,1.06534,0.58545,3,1
0.97473,0.97714,0.92011,0.79865,5,0
1.06576,1.07312,1.02068,0.57306,7,1
1.038,1.00453,0.90244,0.61857,10,0
1.05513,0.9146,1.03511,0.57404,2,0
0.98011,0.90726,0.90947,0.72973,4,0
1.01798,1.0825,1.00558,0.77638,2,0
0.92453,1.05695,0.91671,0.51654,10,0
0.91311,1.08089,1.0703,0.79828,4,0
0.92501,0.97731,0.96728,0.56645,6,1
1.0822,0.98189,0.95403,0.50778,8,0
0.93688,1.09415,0.93817,0.58647,10,0
0.94492,1.09109,0.96413,0.69862,6,0
1.06149,0.95624,1.04455,0.65195,2,1
0.99353,1.01373,1.0524,0.69542,1,1
1.01174,1.05142,0.91387,0.56491,10,0
1.04663,1.06349,0.92668,0.73895,1,1
0.92213,0.97963,1.02573,0.78381,10,0
1.07082,1.06474,1.02009,0.60874,4,1
1.05159,1.07088,0.99197,0.58409,2,1
1.06719,0.93806,0.98273,0.57743,3,1
0.94354,0.98984,0.99052,0.54137,5,0
1.02917,0.96761,1.06963,0.73759,1,1
1.05136,0.91778,0.99014,0.51385,3,1
0.98738,1.06699,0.99633,0.59032,8,1
1.07547,0.9613,1.06131,0.72799,6,1
1.03765,0.96098,1.02419,0.74502,1,1
1.04523,1.02617,0.91516,0.60991,10,0
1.05416,1.0663,1.07269,0.75129,9,0
0.99963,0.96905,0.97671,0.7115,4,1
1.03945,0.91927,0.94843,0.50597,9,0
1.049,1.05988,1.0127,0.57705,4,1
0.97312,1.09386,0.92694,0.53503,6,0
1.03902,0.95191,1.09664,0.53562,3,1
0.94922,0.97776,1.00462,0.62704,4,1
1.0269,0.97338,0.99003,0.7413,3,1
0.92433,0.99899,0.956,0.63251,1,1
0.97016,1.08235,1.03445,0.67914,4,0
0.94114,1.09787,1.03449,0.56453,4,0
1.06658,1.09598,1.01886,0.5143,7,0
0.90361,0.93995,1.0213,0.59632,8,0
1.01261,0.96106,1.01797,0.71015,7,1
0.99414,0.92917,1.09157,0.77561,9,0
1.07348,0.96055,1.02936,0.60757,3,1
0.96817,1.0014,1.07038,0.78391,3,1
0.96628,0.9043,0.93297,0.69636,8,0
1.08516,1.06085,1.05469,0.79157,3,1
0.94798,0.99828,0.90369,0.63847,3,1
1.0001,0.99093,0.9615,0.58867,1,1
0.95272,1.06822,1.01646,0.61365,2,1
1.01202,0.99745,1.07622,0.61004,4,1
0.97096,0.9252,0.96929,0.77243,1,0
1.04505,0.99414,0.90541,0.63967,7,0
0.96524,0.95582,1.01164,0.68632,10,1
0.90519,0.9297,0.94655,0.53332,4,0
0.98525,0.94938,1.08313,0.52177,7,0
0.97184,1.03107,1.02218,0.58898,6,1
1.07969,1.05165,0.96066,0.53187,2,0
1.08923,0.93129,1.03178,0.5167,2,0
0.99118,0.99729,1.06726,0.59851,1,1
0.99036,1.07705,0.97263,0.60704,5,1
0.90307,1.03829,1.06033,0.6435,5,0
0.93182,1.02111,0.98063,0.69161,5,1
1.03486,0.94515,1.02571,0.70424,1,1
0.97443,0.96467,1.01429,0.75826,3,1
1.07835,1.03945,1.03386,0.54772,8,0
1.09559,0.96601,1.03794,0.62855,3,1
0.92411,1.01299,1.07723,0.59449,5,1
1.05788,1.08003,0.9765,0.52703,5,0
1.09612,0.91155,1.00133,0.53014,3,1
0.98959,0.95317,0.95322,0.70198,3,1
1.09172,1.09556,1.04415,0.62788,4,0
0.9982,1.02177,0.9319,0.62106,9,1
1.07693,0.92614,1.01979,0.58159,10,1
0.97959,1.09088,0.93548,0.69287,5,0
1.02525,0.91516,1.01481,0.51632,3,1
1.06421,0.98524,0.97626,0.60906,10,1
0.99788,1.05781,0.92461,0.57853,4,1
0.93053,0.91946,0.92292,0.72243,3,1
1.06316,1.00899,1.01653,0.59763,7,1
0.97181,1.09905,1.03143,0.71993,3,1
1.06919,1.09504,1.01115,0.72392,1,0
1.05101,0.90847,1.0393,0.50811,10,0
0.92792,0.98821,1.03292,0.5138,5,0
1.00451,0.99485,1.00452,0.60851,3,1
1.00235,1.01541,0.99332,0.67545,4,1
1.04564,1.09937,0.9819,0.71395,2,0
1.0752,1.00545,1.0851,0.5741,5,0
0.99455,0.91135,0.92312,0.71949,2,0
1.04038,1.0066,0.91432,0.76216,1,0
1.01097,0.93556,0.99068,0.72666,2,1
0.97876,0.9153,1.04271,0.76165,3,1
1.0133,0.97844,0.90722,0.65716,7,0
1.08274,0.98018,1.04344,0.62666,5,0
1.04605,1.05568,1.03637,0.61039,7,1
0.99393,1.05449,1.03435,0.77689,4,0
0.92894,1.02051,1.00651,0.78718,10,0
0.90974,1.06153,1.06965,0.69532,7,0
1.03839,0.94027,0.90468,0.55291,2,0
0.90532,0.98788,1.07546,0.57675,5,0
0.96776,0.94054,0.90184,0.67454,8,0
0.98217,0.9989,0.97632,0.68618,7,1
0.91432,1.03521,1.05022,0.7957,9,0
0.9963,0.92673,0.90449,0.78628,4,0
0.91863,0.99872,0.97958,0.71598,1,0
0.92027,1.02413,0.93026,0.79417,2,0
1.02235,0.97776,1.01589,0.67138,7,1
0.90138,1.04162,1.04145,0.7493,8,0
0.93468,1.04757,1.08425,0.63282,5,0
1.01633,0.95048,0.90369,0.78461,1,0
0.95706,0.92193,1.01345,0.5928,5,1
1.06773,1.04797,1.04833,0.67527,5,1
1.07587,1.03881,0.96348,0.7812,8,0
1.02957,1.03853,1.03272,0.7802,3,1
0.94591,1.07245,1.07746,0.53479,3,1
0.99257,0.93638,1.05126,0.66411,4,1
1.0233,0.98665,0.91946,0.65302,1,0
0.97691,1.08259,1.00281,0.60584,10,0
0.91201,0.90967,1.07997,0.51402,9,0
1.06255,0.90764,0.96521,0.68948,1,0
0.92806,0.98802,0.92403,0.78711,5,0
1.08545,1.09413,0.92072,0.77737,2,0
1.05805,0.96596,1.06612,0.59719,7,1
1.02198,1.01056,0.9799,0.78344,7,0
1.01703,0.91295,1.00171,0.67463,2,0
0.97474,1.01556,0.98934,0.78197,4,0
1.07812,0.96797,0.91221,0.79882,8,0
0.93518,0.96106,0.98895,0.69439,5,1
0.94401,1.0468,1.06917,0.58277,7,1
0.93693,1.03993,0.94863,0.56226,2,1
1.01545,0.92282,0.98563,0.62049,4,1
0.93724,1.00924,1.06991,0.63039,9,1
1.0391,1.04759,1.03696,0.63097,7,1
0.93689,1.00919,1.01908,0.50908,2,0
0.90323,1.07691,0.90734,0.58254,4,0
0.98432,0.90956,1.06699,0.52294,2,0
1.07291,0.95985,0.9255,0.67418,2,1
0.91142,1.07805,0.97837,0.71796,4,0
1.09153,1.09983,0.9033,0.70468,10,0
0.92174,1.04064,0.92494,0.50936,7,0
1.03319,1.09218,1.04158,0.73174,3,1
1.02295,1.05598,0.95091,0.59303,2,1
0.99696,0.9068,0.94754,0.79719,4,0
1.08235,0.98011,0.90145,0.73276,6,0
1.02533,0.98543,0.99557,0.67024,7,1
1.00437,0.9326,0.92624,0.62772,2,1
0.97337,0.90417,0.9461,0.52628,8,0
0.99538,0.99346,1.02594,0.78451,1,0
0.95125,0.91531,1.09586,0.65476,5,0
0.91754,0.92881,1.04695,0.67561,6,0
1.03923,0.91169,1.08881,0.62818,9,0
1.01929,0.93433,1.05455,0.59074,9,1
1.02696,0.9694,0.91023,0.74388,10,0
1.01103,1.09956,1.05224,0.50643,10,0
1.08025,0.956,1.05602,0.50654,9,0
1.08238,1.03694,1.07312,0.64666,4,0
0.9654,1.02216,0.91286,0.79318,1,0
0.94569,1.05097,0.93349,0.53071,6,0
1.01549,1.08923,1.08331,0.64884,4,0
1.06092,0.98155,0.92098,0.58068,8,1
0.98737,0.97778,0.90857,0.50561,6,0
0.99799,1.08999,0.92535,0.54488,7,0
1.09589,0.94603,0.92549,0.65722,2,0
1.08387,0.9067,0.98983,0.79933,8,0
